"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","OrangeHRM","0","PIM","1","0","TC7 - Add Employee Missing First Name","0"
"0","OrangeHRM","0","Login","1","0","TC3 - Empty Fields Login","0"
"0","OrangeHRM","0","UI","1","0","TC11 - Sidebar Menu","0"
"0","OrangeHRM","0","PIM","1","0","TC5 - Search Non-Existing Employee","0"
"0","OrangeHRM","0","UI","1","0","TC10 - Footer Branding Link","0"
"0","OrangeHRM","0","Admin","1","0","TC9 - Add User Page","0"
"0","OrangeHRM","0","PIM","1","0","TC6 - Open Add Employee Page","0"
"0","OrangeHRM","0","Login","1","0","TC1 - Valid Login","0"
"0","OrangeHRM","0","Login","1","0","TC2 - Invalid Login","0"
"0","OrangeHRM","0","PIM","1","0","TC4 - Search Existing Employee","0"
"0","OrangeHRM","0","PIM","1","0","TC8 - Add New Employee Successfully","0"
