"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"End-to-end: add a new employee then find them in Employee List","13602","addNewEmployeeSuccessfully","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.PIMTests","PimTestsSuite","Tests.PIMTests","addNewEmployeeSuccessfully"
"Login with invalid credentials shows error","3007","invalidLogin","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.LoginTests","LoginTestsSuite","Tests.LoginTests","invalidLogin"
"Login with valid credentials and land on Dashboard","2768","validLogin","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.LoginTests","LoginTestsSuite","Tests.LoginTests","validLogin"
"Search for an existing employee in PIM Employee List","6165","searchExistingEmployee","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.PIMTests","PimTestsSuite","Tests.PIMTests","searchExistingEmployee"
"Verify footer branding link opens orangehrm.com in a new tab","16564","verifyFooterBrandingLink","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.FooterAndSidebarTests","AdminAndUiTestsSuite","Tests.FooterAndSidebarTests","verifyFooterBrandingLink"
"Verify sidebar menu contains required items","3109","verifySidebarMenu","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.FooterAndSidebarTests","AdminAndUiTestsSuite","Tests.FooterAndSidebarTests","verifySidebarMenu"
"Verify Admin Add User form fields","6194","verifyAddUserPage","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.AdminTests","AdminAndUiTestsSuite","Tests.AdminTests","verifyAddUserPage"
"Search for a non-existing employee shows No Records Found","6416","searchNonExistingEmployee","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.PIMTests","PimTestsSuite","Tests.PIMTests","searchNonExistingEmployee"
"Login with empty fields shows Required under both fields","853","emptyLogin","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.LoginTests","LoginTestsSuite","Tests.LoginTests","emptyLogin"
"Open Add Employee page and verify URL and name fields","5166","openAddEmployeePage","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.PIMTests","PimTestsSuite","Tests.PIMTests","openAddEmployeePage"
"Add employee with empty First Name shows Required","7619","addEmployeeMissingFirstName","OrangeHRM Automation Suite","2026-08-28","passed","2026-08-28","Tests.PIMTests","PimTestsSuite","Tests.PIMTests","addEmployeeMissingFirstName"
